idx,good_or_not,quality,alcohol,sulphates,pH,density,total sulfur dioxide,free sulfur dioxide,chlorides,residual sugar,citric acid,volatile acidity,fixed acidity
idx_10022,good,8,10.5,0.48,3.47,0.993,122.0,41.0,0.049,1.7,0.42,0.26,6.8
idx_10023,not,5,9.3,0.51,3.05,0.9937,168.0,25.0,0.07400000000000001,1.5,0.14,0.67,7.6
idx_10024,good,6,10.0,0.47,3.42,0.9951,142.0,16.0,0.052000000000000005,1.3,0.41,0.27,6.6
idx_10027,good,6,10.5,0.53,3.38,0.9961,141.0,32.0,0.051,8.7,0.39,0.28,7.0
idx_10028,good,6,11.6,0.49,3.19,0.9914,132.0,17.0,0.047,1.1,0.48,0.27,7.4
idx_10029,good,7,12.3,0.71,3.1,0.9906,114.0,37.0,0.033,2.0,0.36,0.32,7.2
idx_10030,good,6,10.0,0.53,3.2,0.9974,142.0,20.0,0.044000000000000004,10.4,0.39,0.24,8.5
idx_10031,good,6,10.2,0.4,3.47,0.9934,47.0,7.0,0.042,1.1,0.34,0.14,8.3
idx_10032,good,6,10.8,0.44,3.19,0.992,100.0,31.0,0.05,2.05,0.36,0.25,7.4
idx_10034,not,5,10.2,0.37,3.37,0.9962,179.0,22.0,0.044000000000000004,14.95,0.2,0.27,5.8
idx_10035,not,5,12.8,0.42,3.19,0.9905,123.0,21.0,0.08,1.7,0.43,0.28,7.3
idx_10037,good,6,11.2,0.28,3.13,0.9906,138.0,38.0,0.053,1.2,0.32,0.33,7.0
idx_10038,not,5,8.6,0.36,3.21,0.9999,149.0,45.0,0.057,17.95,0.39,0.24,7.3
idx_10039,not,5,8.6,0.36,3.21,0.9999,149.0,45.0,0.057,17.95,0.39,0.24,7.3
idx_10040,good,6,9.4,0.36,3.11,0.9937,158.0,63.0,0.172,2.5,0.39,0.23,6.7
idx_10042,good,6,9.8,0.46,3.13,0.9954,160.0,28.0,0.069,7.4,0.26,0.31,7.0
idx_10043,good,6,9.5,0.56,3.22,0.9934,152.0,33.0,0.057,1.4,0.27,0.24,6.6
idx_10045,good,7,10.0,0.53,3.16,0.9931,167.0,38.0,0.057999999999999996,1.4,0.31,0.18,7.4
idx_10047,not,5,9.8,0.52,3.25,0.9939,207.0,62.0,0.066,4.4,0.25,0.46,6.2
idx_10049,not,5,9.8,0.48,3.36,0.995,150.0,32.0,0.067,5.0,0.35,0.19,6.9
idx_10050,good,6,11.7,0.44,3.35,0.9917,173.0,31.0,0.062,1.6,0.31,0.19,7.2
idx_10051,good,7,11.0,0.58,3.34,0.9914,124.0,39.0,0.068,1.1,0.29,0.25,6.6
idx_10052,good,7,10.9,0.46,3.32,0.991,82.0,21.0,0.057,1.1,0.33,0.16,6.2
idx_10053,good,6,10.9,0.35,3.31,0.9911,108.0,39.0,0.045,1.0,0.35,0.18,6.4
idx_10054,good,6,9.1,0.38,3.05,0.993,132.0,38.0,0.147,0.9,0.59,0.2,6.8
idx_10055,good,6,11.0,0.52,3.13,0.9908,191.0,29.0,0.039,1.3,0.35,0.25,6.9
idx_10056,good,6,9.6,0.5,3.09,0.9962,213.0,37.0,0.043,11.9,0.34,0.21,7.2
idx_10058,good,6,10.2,0.38,3.11,0.9931,78.0,25.0,0.044000000000000004,4.6,0.15,0.38,6.6
idx_10059,good,6,9.9,0.34,3.36,0.9926,111.0,44.0,0.038,1.2,0.36,0.2,7.4
idx_10060,good,6,8.6,0.46,3.03,0.9951,123.0,30.0,0.092,4.9,0.24,0.22,6.8
idx_10061,good,6,8.9,0.36,3.3,0.9972,147.0,50.0,0.048,12.4,0.26,0.19,6.0
idx_10062,not,5,10.5,0.34,3.02,0.991,151.0,17.0,0.035,1.1,0.07,0.47,7.0
idx_10063,good,6,10.2,0.38,3.11,0.9931,78.0,25.0,0.044000000000000004,4.6,0.15,0.38,6.6
idx_10067,not,5,9.8,0.42,3.14,0.992,174.0,81.0,0.040999999999999995,1.2,0.13,0.25,6.7
idx_10069,not,5,9.5,0.35,3.13,0.9962,105.0,21.0,0.05,10.1,0.29,0.24,7.4
idx_10070,good,6,9.0,0.51,3.1,0.9956,244.0,48.0,0.055999999999999994,7.8,0.43,0.27,6.2
idx_10071,not,5,9.5,0.6,3.32,0.9958,238.5,50.5,0.061,4.6,0.23,0.3,6.8
idx_10072,not,5,10.0,0.71,3.69,0.9964,201.0,31.0,0.063,4.8,0.28,0.27,6.0
idx_10073,good,6,9.1,0.49,2.95,0.9941,72.0,9.0,0.054000000000000006,1.0,0.46,0.23,8.6
idx_10074,good,8,10.7,0.64,3.33,0.9926,96.0,30.0,0.046,2.1,0.31,0.23,6.7
idx_10075,not,5,9.5,0.35,3.13,0.9962,105.0,21.0,0.05,10.1,0.29,0.24,7.4
idx_10077,good,7,12.0,0.65,3.31,0.9912,69.0,20.0,0.042,1.3,0.34,0.32,7.0
idx_10078,not,5,9.3,0.56,2.94,0.9961,103.0,26.0,0.064,8.8,0.3,0.18,7.4
idx_10079,not,5,9.0,0.37,3.27,0.9949,105.0,21.0,0.06,5.4,0.28,0.54,6.7
idx_10080,good,6,10.6,0.77,3.39,0.9929,114.0,34.0,0.053,1.4,0.31,0.22,6.8
idx_10081,good,6,9.2,0.6,3.21,0.9985,166.0,51.0,0.05,16.0,0.34,0.2,7.1
idx_10082,not,5,10.0,0.42,3.17,0.9946,164.0,47.0,0.063,6.1,0.2,0.34,7.1
idx_10083,good,6,9.5,0.46,3.33,0.9966,207.0,42.0,0.047,8.2,0.3,0.22,7.3
idx_10084,not,5,8.7,0.45,3.11,0.9974,155.0,54.0,0.045,11.8,0.61,0.43,7.1
idx_10085,good,6,8.7,0.46,3.12,0.9975,152.0,52.0,0.044000000000000004,11.8,0.62,0.44,7.1
idx_10087,good,6,9.7,0.48,3.22,0.9972,202.0,69.0,0.05,13.3,0.31,0.25,6.8
idx_10088,not,5,8.7,0.45,3.11,0.9974,155.0,54.0,0.045,11.8,0.61,0.43,7.1
idx_10089,good,6,8.7,0.46,3.12,0.9975,152.0,52.0,0.044000000000000004,11.8,0.62,0.44,7.1
idx_10090,good,6,8.7,0.44,3.09,0.9974,156.0,55.0,0.044000000000000004,11.0,0.63,0.39,7.2
idx_10091,not,5,9.0,0.47,3.12,0.9957,243.0,65.0,0.049,7.5,0.43,0.27,6.1
idx_10092,good,7,12.6,0.4,3.26,0.99,136.0,47.0,0.035,1.7,0.33,0.24,6.9
idx_10093,good,7,12.6,0.41,3.25,0.9899,136.0,48.0,0.034,1.8,0.33,0.21,6.9
idx_10094,good,7,11.5,0.44,3.21,0.9916,148.0,51.0,0.04,1.7,0.32,0.17,7.5
idx_10095,good,6,9.2,0.42,3.04,0.9969,240.0,62.0,0.044000000000000004,12.4,0.29,0.26,7.1
idx_10096,good,6,8.8,0.5,3.14,0.9979,164.0,26.0,0.046,15.9,0.66,0.34,6.0
idx_10098,not,4,10.1,0.3,2.89,0.9956,83.0,4.0,0.038,10.5,0.46,0.36,9.8
idx_10099,good,6,8.8,0.5,3.14,0.9979,164.0,26.0,0.046,15.9,0.66,0.34,6.0
idx_10100,not,5,9.1,0.44,3.0,0.9975,192.0,52.0,0.06,13.5,0.37,0.25,7.4
idx_10101,not,5,9.4,0.41,3.4,0.9962,162.0,64.0,0.054000000000000006,9.6,0.32,0.12,7.1
idx_10102,not,5,9.4,0.39,3.34,0.997,164.0,55.0,0.05,12.1,0.24,0.21,6.0
idx_10103,not,5,9.0,0.46,2.99,1.0,170.0,44.0,0.059000000000000004,18.9,0.4,0.305,7.5
idx_10104,not,5,9.1,0.44,3.0,0.9975,192.0,52.0,0.06,13.5,0.37,0.25,7.4
idx_10105,good,6,9.2,0.35,3.2,0.9974,109.0,34.0,0.051,14.4,0.32,0.13,7.3
idx_10106,not,5,9.4,0.41,3.4,0.9962,162.0,64.0,0.054000000000000006,9.6,0.32,0.12,7.1
idx_10108,good,6,9.1,0.59,3.16,0.9990000000000001,171.0,60.0,0.04,16.5,0.35,0.23,7.1
idx_10109,not,5,10.3,0.6,3.27,0.9927,187.0,37.0,0.051,1.3,0.28,0.33,6.9
idx_10110,good,6,8.8,0.39,2.89,0.9959,163.0,64.0,0.08199999999999999,8.5,0.54,0.17,6.5
idx_10114,not,5,9.1,0.51,3.22,0.9968,150.0,29.0,0.049,9.2,0.34,0.41,6.7
idx_10115,not,4,9.7,0.4,3.63,0.9940000000000001,103.0,8.0,0.065,1.5,0.0,0.485,5.5
idx_10116,good,6,11.3,0.44,3.31,0.9914,143.0,25.0,0.040999999999999995,3.3,0.24,0.31,6.0
idx_10117,good,6,11.8,0.42,3.19,0.9911,85.0,16.0,0.035,1.7,0.4,0.14,7.0
idx_10119,not,5,9.2,0.5,3.04,0.9982,196.0,57.0,0.06,13.3,0.48,0.32,7.3
idx_10120,not,5,10.2,0.51,3.22,0.9934,87.0,21.0,0.046,5.7,0.04,0.36,5.9
idx_10121,not,5,8.8,0.54,3.01,0.9984,138.0,42.0,0.054000000000000006,12.2,0.32,0.24,7.8
idx_10123,good,6,9.1,0.36,3.29,0.9952,146.0,14.0,0.057999999999999996,5.0,0.28,0.19,6.9
idx_10124,good,6,9.8,0.36,3.21,0.9928,158.0,40.0,0.092,1.6,0.47,0.13,6.4
idx_10125,good,6,11.0,0.48,3.27,0.9912,143.0,63.0,0.026000000000000002,1.1,0.36,0.19,6.7
idx_10126,not,5,10.5,0.42,3.14,0.9940000000000001,126.0,29.0,0.033,7.0,0.23,0.39,7.4
idx_10127,good,7,9.7,0.54,3.45,0.9958,203.0,48.0,0.038,7.6,0.32,0.24,6.5
idx_10128,good,7,10.9,0.57,3.3,0.9924,179.0,47.0,0.044000000000000004,2.8,0.56,0.3,6.1
idx_10129,good,6,10.9,0.57,3.31,0.9924,184.0,46.0,0.046,2.7,0.56,0.3,6.1
idx_10130,not,5,10.6,0.37,3.39,0.9940000000000001,57.0,7.0,0.02,10.4,0.25,0.26,5.7
idx_10131,good,7,9.7,0.54,3.45,0.9958,203.0,48.0,0.038,7.6,0.32,0.24,6.5
idx_10133,not,5,9.2,0.51,3.24,0.9982,188.0,46.0,0.035,15.8,0.27,0.24,6.6
idx_10135,not,5,9.6,0.56,3.26,0.9979,179.0,44.0,0.036000000000000004,15.7,0.31,0.27,6.7
idx_10136,good,6,10.7,0.38,3.12,0.992,121.0,36.0,0.027000000000000003,1.2,0.4,0.23,8.2
idx_10138,good,7,10.8,0.54,3.15,0.9917,96.0,30.0,0.035,1.9,0.36,0.19,6.8
idx_10139,good,6,11.8,0.52,3.23,0.9923,79.0,18.0,0.028999999999999998,1.9,0.39,0.28,8.1
idx_10140,not,5,10.2,0.43,3.3,0.9927,77.0,20.0,0.045,2.2,0.34,0.31,6.3
idx_10141,not,5,8.7,0.44,3.16,0.9975,155.0,49.0,0.045,10.5,0.67,0.37,7.1
idx_10142,good,6,10.8,0.54,3.21,0.992,107.0,38.0,0.039,1.2,0.4,0.21,7.9
idx_10143,good,6,9.7,0.53,3.18,0.9947,99.0,24.0,0.036000000000000004,4.3,0.41,0.21,8.5
idx_10144,good,6,11.2,0.54,3.12,0.9921,87.0,19.0,0.037000000000000005,2.0,0.4,0.2,8.1
idx_10145,good,6,10.9,0.39,3.0,0.9905,114.0,37.0,0.04,1.1,0.37,0.255,6.3
idx_10146,good,6,10.1,0.37,3.28,0.9918,168.0,53.0,0.044000000000000004,1.4,0.27,0.16,5.6
idx_10147,not,4,9.0,0.36,3.38,0.9951,97.0,15.0,0.057999999999999996,5.2,0.14,0.595,6.4
idx_10149,good,6,9.4,0.38,2.99,0.9940000000000001,116.0,23.0,0.054000000000000006,4.1,0.3,0.25,6.9
idx_10150,good,7,11.5,0.32,3.12,0.9934,152.0,46.0,0.043,8.0,0.38,0.22,7.9
idx_10151,good,6,9.9,0.43,3.14,0.9968,135.0,58.0,0.055,10.2,0.46,0.18,7.6
idx_10152,good,6,9.4,0.38,2.99,0.9940000000000001,116.0,23.0,0.054000000000000006,4.1,0.3,0.25,6.9
idx_10153,not,5,10.4,0.45,3.14,0.9919,97.0,41.0,0.048,1.2,0.41,0.18,7.2
idx_10154,good,6,9.7,0.84,3.06,0.9966,76.0,12.0,0.049,7.5,0.4,0.23,8.2
idx_10155,good,6,8.9,0.42,2.89,0.9979,198.0,48.0,0.066,14.0,0.42,0.24,7.4
idx_10156,good,6,8.9,0.42,2.89,0.9979,198.0,48.0,0.066,14.0,0.42,0.24,7.4
idx_10157,good,7,12.4,0.42,3.29,0.9898,124.0,38.0,0.036000000000000004,1.5,0.24,0.32,6.1
idx_10158,good,8,12.1,0.33,3.36,0.9894,119.0,43.0,0.036000000000000004,1.4,0.04,0.44,5.2
idx_10159,good,8,12.1,0.33,3.36,0.9894,119.0,43.0,0.036000000000000004,1.4,0.04,0.44,5.2
idx_10160,good,7,12.4,0.42,3.29,0.9898,124.0,38.0,0.036000000000000004,1.5,0.24,0.32,6.1
idx_10162,not,5,10.6,0.39,3.28,0.9932,85.0,14.0,0.049,4.8,0.3,0.36,6.3
idx_10165,not,5,9.8,0.49,3.16,0.9972,177.0,72.0,0.051,13.0,0.36,0.23,7.0
idx_10166,good,6,9.6,0.59,3.14,0.9974,197.0,39.0,0.048,8.7,0.46,0.27,8.4
idx_10167,good,7,12.6,0.44,3.08,0.9896,98.0,25.0,0.034,2.4,0.18,0.46,6.7
idx_10169,not,5,10.0,0.29,2.87,0.9958,110.0,5.0,0.034,9.85,0.48,0.42,9.8
idx_10170,good,6,12.7,0.54,3.12,0.9906,133.0,29.0,0.066,1.5,0.46,0.3,7.1
idx_10171,good,6,11.0,0.39,3.13,0.9917,96.0,17.0,0.045,1.5,0.45,0.19,7.9
idx_10172,not,4,11.4,0.39,3.03,0.9902,100.0,4.0,0.037000000000000005,0.8,0.37,0.48,7.6
idx_10174,not,5,10.2,0.64,3.09,0.9990000000000001,173.0,33.0,0.051,17.7,0.31,0.27,7.5
idx_10175,good,6,11.4,0.27,3.11,0.9927,151.0,50.0,0.04,7.5,0.4,0.23,6.9
idx_10176,not,4,12.6,0.41,3.03,0.991,65.0,19.0,0.044000000000000004,5.1,0.47,0.32,7.2
idx_10178,not,4,8.7,0.35,3.11,0.9931,108.0,9.0,0.06,1.2,0.07,0.67,6.0
idx_10179,good,6,9.2,0.68,3.19,0.995,176.0,41.0,0.049,5.5,0.32,0.25,6.4
idx_10180,good,6,9.3,0.66,3.19,0.9951,173.0,42.0,0.048,5.5,0.31,0.33,6.4
idx_10181,not,5,9.2,0.43,3.09,0.9936,183.0,61.0,0.053,1.2,0.15,0.34,7.1
idx_10183,good,6,9.6,0.58,3.18,0.9979,227.0,64.0,0.05,14.0,0.4,0.27,6.9
idx_10184,not,5,9.3,0.63,3.02,0.997,226.0,64.0,0.043,11.9,0.56,0.26,6.8
idx_10185,not,5,9.3,0.63,3.02,0.9972,230.0,66.0,0.043,11.9,0.56,0.29,6.8
idx_10186,good,6,9.9,0.61,3.12,0.9954,166.0,49.0,0.04,9.4,0.41,0.24,6.7
idx_10187,not,5,11.0,0.5,3.15,0.9924,119.0,42.0,0.038,4.2,0.23,0.3,5.9
idx_10190,good,6,8.9,0.55,3.09,0.9962,211.0,55.0,0.052000000000000005,8.5,0.28,0.28,6.6
idx_10191,not,5,8.7,0.5,2.93,1.001,167.0,48.0,0.048,22.0,0.4,0.28,6.8
idx_10192,good,6,11.4,0.37,3.02,0.9928,123.0,28.0,0.045,8.0,0.36,0.28,6.8
idx_10193,not,5,9.6,0.42,3.36,0.9942,125.0,34.0,0.055,5.1,0.34,0.15,6.6
idx_10195,good,6,9.1,0.39,3.02,0.9942,180.0,76.0,0.19699999999999998,3.5,0.45,0.3,6.4
idx_10196,not,5,9.1,0.38,3.01,0.9942,183.0,75.0,0.19699999999999998,3.6,0.44,0.29,6.4
idx_10197,not,5,8.9,0.47,3.13,0.9961,214.0,54.0,0.052000000000000005,7.8,0.24,0.26,6.8
idx_10198,not,5,8.8,0.49,3.1,0.998,204.0,52.0,0.05,13.1,0.24,0.32,7.1
idx_10199,not,5,8.9,0.47,3.13,0.9961,214.0,54.0,0.052000000000000005,7.8,0.24,0.26,6.8
idx_10200,not,5,9.3,0.5,3.15,0.9984,196.0,55.0,0.049,16.1,0.26,0.27,6.8
idx_10201,not,5,8.8,0.49,3.1,0.998,204.0,52.0,0.05,13.1,0.24,0.32,7.1
idx_10204,not,4,10.2,0.5,3.28,0.9924,114.0,36.0,0.053,2.3,0.35,0.28,5.8
idx_10205,not,5,8.8,0.43,3.15,0.9972,153.0,45.0,0.042,11.6,0.5,0.21,6.4
idx_10206,not,5,9.2,0.34,3.21,0.9958,126.0,38.0,0.045,8.3,0.32,0.16,7.0
idx_10207,not,4,9.9,0.51,2.99,0.9968,124.0,20.0,0.049,6.2,0.88,0.44,10.2
idx_10209,good,6,9.5,0.77,3.22,0.993,170.0,23.0,0.048,0.9,0.31,0.4,6.1
idx_10210,not,5,10.5,0.34,3.31,0.9940000000000001,68.0,12.0,0.032,9.7,0.25,0.245,5.6
idx_10211,good,7,11.2,0.59,3.32,0.9918,111.0,35.0,0.038,1.4,0.38,0.18,6.8
idx_10212,not,5,9.2,0.34,3.21,0.9958,126.0,38.0,0.045,8.3,0.32,0.16,7.0
idx_10213,good,6,9.7,0.37,3.44,0.9944,122.0,31.0,0.051,5.3,0.29,0.13,6.7
idx_10214,good,7,11.1,0.44,3.3,0.9912,105.0,35.0,0.03,1.4,0.25,0.25,6.2
idx_10215,not,5,9.4,0.38,3.31,0.9961,152.0,55.0,0.044000000000000004,9.2,0.24,0.26,5.8
idx_10217,not,5,9.4,0.38,3.31,0.9961,152.0,55.0,0.044000000000000004,9.2,0.24,0.26,5.8
idx_10218,not,5,9.4,0.44,3.31,0.9989,167.0,60.0,0.044000000000000004,17.5,0.24,0.28,5.7
idx_10219,not,5,11.0,0.32,3.04,0.9938,161.0,43.0,0.036000000000000004,7.0,0.36,0.23,7.5
idx_10221,good,6,9.1,0.55,3.0,0.9971,172.0,33.0,0.07,9.5,0.21,0.685,7.2
idx_10223,good,6,9.1,0.39,3.42,0.9936,144.0,33.0,0.043,0.8,0.3,0.19,6.5
idx_10224,good,6,10.4,0.54,3.39,0.9929,140.0,31.0,0.046,1.8,0.22,0.495,6.3
idx_10225,not,5,8.7,0.39,3.32,0.9998,145.0,39.0,0.046,17.8,0.41,0.24,7.1
idx_10226,good,6,9.7,0.5,3.5,0.9938,200.0,41.0,0.048,2.4,0.32,0.17,6.4
idx_10227,good,6,9.1,0.52,3.17,0.9969,272.0,66.0,0.040999999999999995,10.3,0.32,0.25,7.1
idx_10228,good,6,9.7,0.5,3.5,0.9938,200.0,41.0,0.048,2.4,0.32,0.17,6.4
idx_10229,not,5,8.7,0.39,3.32,0.9998,145.0,39.0,0.046,17.8,0.41,0.24,7.1
idx_10230,not,4,8.9,0.46,3.37,0.9972,142.0,26.0,0.062,9.7,0.08,0.64,6.8
idx_10231,good,6,9.6,0.51,3.34,0.9976,194.0,38.0,0.040999999999999995,7.8,0.4,0.28,8.3
idx_10232,good,6,9.5,0.51,3.31,0.9976,208.0,49.0,0.039,7.8,0.39,0.27,8.2
idx_10233,good,6,9.0,0.44,3.09,0.9979,194.0,55.0,0.057999999999999996,14.3,0.38,0.23,7.2
idx_10234,good,6,9.0,0.44,3.09,0.9979,194.0,55.0,0.057999999999999996,14.3,0.38,0.23,7.2
idx_10235,good,6,9.0,0.44,3.09,0.9979,194.0,55.0,0.057999999999999996,14.3,0.38,0.23,7.2
idx_10236,good,6,9.0,0.44,3.09,0.9979,194.0,55.0,0.057999999999999996,14.3,0.38,0.23,7.2
idx_10237,good,6,9.6,0.5,3.27,0.9972,221.0,54.0,0.044000000000000004,13.2,0.32,0.52,6.8
idx_10238,good,7,11.1,0.41,3.34,0.9918,120.0,40.0,0.037000000000000005,1.4,0.59,0.26,7.0
idx_10239,good,6,9.6,0.64,3.48,0.9982,159.0,28.0,0.039,15.55,0.21,0.25,6.2
idx_10240,not,5,8.7,0.46,3.2,0.9985,197.0,49.0,0.05,13.7,0.23,0.32,7.3
idx_10241,not,5,10.4,0.5,3.13,0.9944,90.0,23.0,0.031,7.8,0.26,0.31,7.7
idx_10244,not,5,8.7,0.46,3.14,0.9975,142.0,40.0,0.043,11.2,0.56,0.4,6.9
idx_10246,good,7,12.6,0.61,3.16,0.99,139.0,26.0,0.03,2.1,0.27,0.21,6.8
idx_10247,good,7,10.9,0.36,3.25,0.9905,77.0,12.0,0.031,1.4,0.27,0.2,5.8
idx_10249,not,5,10.0,0.45,3.38,0.996,119.0,18.0,0.037000000000000005,10.4,0.14,0.41,6.1
idx_10250,not,4,10.0,0.7,3.72,0.9964,199.0,40.0,0.053,4.6,0.28,0.21,5.9
idx_10251,not,3,9.8,0.5,3.02,0.998,197.0,41.0,0.07400000000000001,16.2,0.21,0.26,8.5
idx_10252,not,5,8.7,0.46,3.14,0.9975,142.0,40.0,0.043,11.2,0.56,0.4,6.9
idx_10255,good,8,9.6,0.58,3.32,0.9935,147.0,45.0,0.04,1.1,0.39,0.26,6.7
idx_10257,good,7,11.0,0.41,3.27,0.9927,97.0,8.0,0.035,5.7,0.3,0.35,6.3
idx_10258,good,6,11.8,0.5,3.32,0.9912,118.0,23.0,0.032,1.8,0.39,0.23,6.4
idx_10259,not,4,11.4,0.34,3.28,0.9904,75.0,3.0,0.037000000000000005,0.9,0.38,0.36,5.8
idx_10261,not,5,8.9,0.47,2.93,0.9996,156.0,36.0,0.043,19.45,0.4,0.29,6.9
idx_10263,good,6,9.6,0.59,3.08,0.9977,231.0,66.0,0.045,13.6,0.4,0.29,7.2
idx_10264,good,6,10.6,0.48,3.1,0.9912,167.0,22.0,0.038,1.2,0.35,0.24,6.2
idx_10265,not,5,8.9,0.47,2.93,0.9996,156.0,36.0,0.043,19.45,0.4,0.29,6.9
idx_10266,good,6,9.2,0.51,3.25,0.9965,180.0,32.0,0.053,8.3,0.26,0.32,6.9
idx_10267,not,5,9.7,0.57,3.34,0.9944,149.0,34.0,0.043,6.9,0.07,0.58,5.3
idx_10269,good,6,9.7,0.57,3.34,0.9944,147.0,36.0,0.045,7.0,0.07,0.59,5.4
idx_10270,good,6,9.2,0.51,3.25,0.9965,180.0,32.0,0.053,8.3,0.26,0.32,6.9
idx_10271,not,5,9.7,0.58,3.33,0.9944,147.0,33.0,0.044000000000000004,7.0,0.07,0.6,5.2
idx_10272,not,5,9.3,0.38,3.29,0.9972,148.0,44.0,0.051,13.1,0.26,0.25,5.8
idx_10273,not,5,9.0,0.38,3.24,0.9949,123.0,30.0,0.057,5.1,0.3,0.58,6.6
idx_10274,not,5,9.5,0.61,3.05,0.9966,234.0,59.0,0.046,10.7,0.54,0.29,7.0
idx_10276,good,6,9.8,0.58,3.14,0.9954,166.0,50.0,0.044000000000000004,9.1,0.41,0.2,6.7
idx_10277,not,5,10.6,0.5,2.89,0.9915,60.0,9.0,0.042,1.1,0.4,0.26,7.7
idx_10278,not,4,10.6,0.47,3.05,0.9919,67.0,14.0,0.044000000000000004,1.2,0.34,0.32,6.8
idx_10279,good,7,12.4,0.68,3.26,0.9916,105.0,17.0,0.036000000000000004,4.7,0.49,0.3,7.0
idx_10280,good,8,12.6,0.38,3.19,0.99,112.0,22.0,0.034,2.8,0.36,0.24,7.0
idx_10282,not,4,10.5,0.65,3.08,0.9938,201.0,46.0,0.047,5.1,0.37,0.44,6.8
idx_10283,not,5,9.3,0.49,3.19,0.9982,196.0,51.0,0.054000000000000006,15.6,0.3,0.34,6.7
idx_10284,not,5,8.8,0.49,3.12,0.9988,198.0,46.0,0.055,15.4,0.24,0.35,7.1
idx_10285,not,5,8.8,0.47,3.08,0.9961,180.0,47.0,0.055999999999999994,7.2,0.25,0.32,7.3
idx_10287,good,7,9.0,0.48,2.98,0.9979,192.0,49.0,0.057999999999999996,14.2,0.39,0.23,7.2
idx_10288,good,7,9.0,0.48,2.98,0.9979,192.0,49.0,0.057999999999999996,14.2,0.39,0.23,7.2
idx_10289,good,7,9.0,0.48,2.98,0.9979,192.0,49.0,0.057999999999999996,14.2,0.39,0.23,7.2
idx_10290,good,7,9.0,0.48,2.98,0.9979,192.0,49.0,0.057999999999999996,14.2,0.39,0.23,7.2
idx_10291,good,6,10.5,0.46,3.52,0.9945,155.0,53.0,0.040999999999999995,5.8,0.31,0.15,5.9
idx_10292,not,5,9.1,0.44,2.96,1.0,195.0,53.0,0.066,19.8,0.42,0.28,7.4
idx_10295,good,6,9.4,0.54,3.37,0.9934,175.0,34.0,0.046,1.2,0.27,0.33,6.3
idx_10297,good,7,11.2,0.6,3.19,0.9932,187.0,82.0,0.040999999999999995,3.8,0.46,0.19,7.2
idx_10301,good,6,10.5,0.38,3.13,0.992,74.0,12.0,0.05,0.9,0.35,0.2,8.3
idx_10302,good,6,10.8,0.67,3.27,0.9914,87.0,36.0,0.063,1.6,0.0,0.41,6.1
idx_10303,good,6,11.1,0.43,3.32,0.9914,168.0,42.0,0.055,1.3,0.21,0.29,6.0
idx_10304,good,6,9.9,0.41,3.2,0.9949,163.0,41.0,0.057,6.8,0.24,0.41,7.3
idx_10305,good,6,9.9,0.41,3.2,0.9949,163.0,41.0,0.057,6.8,0.24,0.41,7.3
idx_10306,not,5,9.9,0.41,3.2,0.995,163.0,40.0,0.057999999999999996,6.7,0.24,0.43,7.2
