Brand,Name,Boarding_time,Km,Discharge,Sec_price,New_price
奥迪,奥迪Q3 2015款 30 TFSI 舒适型,2014年8月,3.00万公里,"国4,国5",19.3,31.46万
奥迪,奥迪A5 2008款 2.0T coupe,2009年8月,8.00万公里,欧4,16.68,56.99万
奥迪,奥迪A6L 2012款 TFSI 标准型,2012年6月,7.00万公里,国5,23.1,44.48万
奥迪,奥迪A6 2015款 allroad quattro,2016年3月,3.00万公里,国5,49.0,65.11万
奥迪,奥迪A6L 2010款 2.4豪华型,2009年12月,8.00万公里,国4,14.8,57.89万
奥迪,奥迪A5 2016款 改款 Sportback 45 TFSI 舒适型,2016年8月,0.18万公里,国5,36.98,47.54万
奥迪,奥迪Q3 2013款 35TFSI quattro 豪华型,2014年12月,3.00万公里,国4,22.5,43.07万
奥迪,奥迪A8L 2003款 4.2 FSI quattro至尊型,2006年6月,12.00万公里,--,15.8,143.28万
奥迪,奥迪A4 2007款 1.8T CVT 舒适型,2007年5月,11.00万公里,国3,6.38,32.93万
奥迪,奥迪A4L 2015款 35 TFSI 自动 舒适型,2015年12月,2.00万公里,"国4,国5",23.8,36.14万
奥迪,奥迪A6L 2008款 2.8 FSI 尊享型,2008年8月,9.30万公里,国3,12.5,65.87万
奥迪,奥迪A6L 2012款 TFSI 舒适型,2013年3月,5.00万公里,国5,26.2,48.48万
奥迪,奥迪A4L 2013款 35 TFSI 自动 豪华型,2014年2月,6.00万公里,国4,22.3,43.31万
奥迪,奥迪Q5 2010款 2.0 TFSI 舒适型,2010年10月,7.80万公里,国4,18.8,51.65万
奥迪,奥迪A6L 2008款 2.8 FSI 舒适娱乐型,2008年5月,11.20万公里,国4,11.2,56.99万
奥迪,奥迪A6L 2010款 2.8FSI quattro 豪华型,2010年2月,9.00万公里,国4,18.18,70.58万
奥迪,奥迪A6L 2010款 2.4舒适型,2010年10月,9.00万公里,国4,16.0,51.65万
奥迪,奥迪A6L 2009款 2.0 TFSI 标准型(自动),2009年6月,9.00万公里,国4,13.58,43.20万
奥迪,奥迪A6L 2011款 2.4 舒适型,2011年6月,11.00万公里,国4,17.8,51.65万
奥迪,奥迪A6 2007款 3.2FSI quattro 豪华型,2007年5月,9.00万公里,--,9.5,71.17万
奥迪,奥迪Q5 2011款 2.0 TFSI 技术型,2011年12月,8.00万公里,国4,20.3,46.00万
奥迪,奥迪A8L 2012款 50 TFSI quattro 舒适型,2012年9月,7.20万公里,欧5,43.8,126.78万
奥迪,奥迪A6L 2012款 TFSI 标准型,2014年4月,5.20万公里,国5,28.56,44.48万
奥迪,奥迪TT 2008款 TTS Coupe 2.0 TFSI quattro S tronic,2009年2月,5.00万公里,欧4,16.97,71.53万
奥迪,奥迪A6L 2014款 TFSI 标准型,2014年4月,7.00万公里,"国4,国5",27.2,44.48万
奥迪,奥迪TT 2008款 TTS Coupe 2.0 TFSI quattro S tronic,2007年5月,6.00万公里,欧4,15.49,71.53万
奥迪,奥迪A5 2012款 Sportback 2.0T 双离合 quattro,2012年9月,7.00万公里,欧4,26.6,63.83万
奥迪,奥迪A5 2012款 Sportback 2.0T 双离合 quattro,2012年9月,7.00万公里,欧4,26.6,63.83万
奥迪,奥迪A4 2008款 1.8T豪华型,2009年5月,8.00万公里,国4,8.3,34.90万
奥迪,奥迪A8L 2005款 3.0 TFSI quattro 豪华型,2005年1月,13.00万公里,--,9.8,101.82万
奥迪,奥迪A6L 2016款 TFSI 舒适型,2016年6月,1.80万公里,国5,32.9,48.68万
奥迪,奥迪A6L 2014款 TFSI 标准型,2014年4月,4.50万公里,"国4,国5",27.5,44.48万
奥迪,奥迪A8L 2016款 45 TFSI quattro 舒适型,2016年1月,0.17万公里,国4,70.5,100.60万
奥迪,奥迪A4L 2016款 35 TFSI 自动 豪华型,2016年6月,1.20万公里,"国4,国5",25.8,43.64万
奥迪,奥迪A4L 2013款 35 TFSI 自动 舒适型,2013年3月,6.20万公里,国4,18.8,35.81万
奥迪,奥迪A5 2014款 Coupe 45 TFSI,2014年10月,1.00万公里,"欧4,OBD",35.8,56.99万
奥迪,奥迪A4L 2016款 35 TFSI 自动 标准型,2016年1月,6.50万公里,"国4,国5",22.98,33.95万
奥迪,奥迪A6L 2002款 2.4L CVT 技术领先型,2003年5月,14.30万公里,国2,2.3,54.24万
奥迪,奥迪A4L 2010款 2.0TFSI 技术型,2010年8月,8.00万公里,国4,13.58,40.14万
奥迪,奥迪A6L 2005款 2.4豪华型,2005年11月,10.90万公里,国3,6.58,54.78万
奥迪,奥迪A6L 2009款 2.4 豪华型,2009年3月,8.00万公里,国4,13.98,57.51万
奥迪,奥迪A4 2007款 1.8T CVT 舒适型,2007年8月,7.60万公里,国3,6.2,32.93万
奥迪,奥迪A4L 2017款 45 TFSI quattro 风尚型,2016年9月,0.20万公里,国5,30.99,44.37万
奥迪,奥迪A6L 2010款 2.0TFSI 基本型,2010年12月,7.00万公里,国4,14.7,38.53万
奥迪,奥迪A4L 2011款 1.8 TFSI 舒适型,2011年5月,6.00万公里,国4,12.3,31.59万
奥迪,奥迪A6L 2012款 30 FSI 技术型,2012年9月,6.30万公里,国5,23.2,46.98万
奥迪,奥迪A5 2014款 Sportback 45 TFSI quattro,2014年4月,3.30万公里,"欧4,OBD",29.8,63.50万
奥迪,奥迪A8L 2000款 2.8 quattro,2002年6月,26.00万公里,--,4.2,93.78万
奥迪,奥迪A6L 2010款 2.4舒适型,2010年10月,8.30万公里,国4,15.3,51.65万
奥迪,奥迪A6L 2006款 2.4 CVT 舒适型,2006年12月,8.60万公里,国3,7.68,50.89万
奥迪,奥迪A4L 2011款 2.0 TFSI(132kW) 舒适型,2012年1月,7.80万公里,国4,13.5,35.81万
奥迪,奥迪TT 2011款 TT Roadster 2.0 TFSI S tronic quattro,2011年8月,3.00万公里,欧4,24.98,64.26万
奥迪,奥迪A3 2014款 Limousine 35TFSI 舒适型,2015年9月,4.50万公里,"国4,京5",16.8,27.66万
奥迪,奥迪A5 2016款 Sportback 45 TFSI,2016年11月,0.05万公里,"欧4,OBD",36.8,49.80万
奥迪,奥迪A7 2017款 50 TFSI quattro 舒适型,2016年12月,0.06万公里,国5,67.88,88.79万
奥迪,奥迪Q7 2016款 45 TFSI quattro S line 运动型,2017年1月,0.06万公里,国5,78.0,98.76万
奥迪,奥迪Q7 2016款 45 TFSI quattro S line 运动型,2016年1月,0.15万公里,国5,81.0,98.76万
奥迪,奥迪A4L 2011款 2.0 TFSI(132kW) 技术型,2011年3月,6.90万公里,国4,14.88,40.14万
奥迪,奥迪A6L 2010款 2.0TFSI 标准型(手动),2010年6月,9.44万公里,国4,11.18,40.98万
奥迪,奥迪A6L 2015款 TFSI 纪念智领版,2015年7月,7.00万公里,"国4,国5",29.5,43.22万
奥迪,奥迪S5 2016款 Sportback 3.0T,2015年7月,2.80万公里,"欧4,OBD",49.8,73.70万
奥迪,奥迪A4L 2013款 35 TFSI 自动 技术型,2013年1月,6.00万公里,国4,17.8,40.14万
奥迪,奥迪A6L 2015款 TFSI 纪念智领版,2015年7月,3.30万公里,"国4,国5",32.0,43.22万
奥迪,奥迪Q5 2016款 40TFSI 技术型,2016年7月,2.70万公里,国5,32.59,46.41万
奥迪,奥迪A1 2016款 Sportback 30TFSI S Line 运动版,2016年1月,0.57万公里,国5,17.2,25.49万
奥迪,奥迪Q3 2013款 35TFSI quattro 豪华型,2014年12月,3.00万公里,国4,22.8,43.07万
奥迪,奥迪A8L 2013款 50 TFSI quattro舒适型,2013年1月,3.00万公里,欧4,50.4,126.78万
奥迪,奥迪A8L 2017款 45 TFSI quattro 卓越先锋版,2017年1月,0.30万公里,国5,78.88,100.71万
奥迪,奥迪R8 2012款 5.2 FSI quattro 中国专享型,2013年8月,2.80万公里,"国4,京5",125.8,285.26万
奥迪,奥迪A5 2010款 Cabriolet 2.0T,2011年3月,3.00万公里,欧4,24.79,64.91万
奥迪,奥迪S5 2010款 Sportback,2011年8月,4.00万公里,欧4,32.5,77.94万
奥迪,奥迪A8L 2014款 45 TFSI quattro 舒适型,2015年12月,0.08万公里,国4,64.98,100.60万
奥迪,奥迪A6L 2016款 TFSI 运动型,2016年2月,0.14万公里,国5,37.5,50.06万
奥迪,奥迪Q3 2013款 40TFSI quattro 豪华型,2014年6月,2.02万公里,国4,23.88,46.54万
奥迪,奥迪R8 2011款 Spyder 5.2L FSI quattro,2013年8月,1.70万公里,欧5,128.8,271.15万
奥迪,奥迪A4 2007款 1.8T CVT 个性风格版,2007年2月,8.50万公里,国3,7.48,34.63万
奥迪,奥迪A5 2010款 Coupe 2.0T,2010年7月,5.00万公里,欧4,18.79,56.99万
奥迪,奥迪A7 2013款 50 TFSI quattro 舒适型,2013年7月,2.60万公里,欧4,42.0,88.79万
奥迪,奥迪Q7 2011款 3.0 TFSI quattro(245kW) 专享型,2011年12月,6.00万公里,欧5,36.9,143.17万
奥迪,奥迪A6L 2009款 2.4 豪华型,2008年12月,8.00万公里,国4,13.88,57.51万
奥迪,奥迪A1 2014款 Sportback 30TFSI 技术型,2015年5月,1.60万公里,"国4,国5",12.98,25.49万
奥迪,奥迪Q7 2012款 3.0 TDI quattro 领先型,2012年12月,7.00万公里,欧4,36.49,96.17万
奥迪,奥迪Q3 2016款 35 TFSI 风尚型,2016年5月,0.30万公里,"国4,国5",25.8,32.98万
奥迪,奥迪A1 2014款 30 TFSI 时尚型,2014年2月,2.91万公里,"国4,国5",12.18,21.69万
奥迪,奥迪A8L 2010款 百年纪念版 3.0 FSI,2010年1月,18.70万公里,欧4,24.8,114.84万
奥迪,奥迪A4(进口) 2014款 40TFSI allroad quattro,2015年1月,2.00万公里,"国4,京5",30.9,51.00万
奥迪,奥迪A8L 2016款 45 TFSI quattro 豪华型,2016年10月,0.80万公里,国4,73.88,110.94万
奥迪,奥迪A3 2016款 Sportback 35TFSI 风尚型,2016年3月,1.22万公里,"国4,京5",17.0,24.52万
奥迪,奥迪Q3 2017款 35 TFSI 时尚型,2016年9月,0.90万公里,"国4,国5",25.98,30.31万
奥迪,奥迪Q5 2012款 2.0 TFSI 技术型,2012年4月,5.00万公里,国4,23.48,46.41万
奥迪,奥迪R8 2010款 5.2 FSI quattro,2012年4月,3.80万公里,欧5,98.5,252.70万
奥迪,奥迪A8L 2016款 45 TFSI quattro 舒适型,2016年4月,1.30万公里,国4,66.58,100.60万
奥迪,奥迪Q5 2013款 40TFSI 技术型,2012年7月,8.50万公里,国4,23.3,46.41万
奥迪,奥迪Q3 2013款 35TFSI quattro 舒适型,2014年2月,3.00万公里,国4,22.58,38.73万
奥迪,奥迪Q3 2013款 35TFSI 进取型,2014年2月,3.40万公里,国4,19.78,30.94万
奥迪,奥迪A6L 2011款 3.0T FSI quattro 豪华型,2011年12月,9.40万公里,国4,21.0,75.87万
奥迪,奥迪A5 2012款 Cabriolet 2.0T quattro,2012年10月,2.80万公里,欧4,27.8,68.17万
奥迪,奥迪A8L 2016款 45 TFSI quattro 豪华型,2017年2月,0.60万公里,国4,75.8,110.94万
奥迪,奥迪TT 2013款 TTS Coupe 2.0TFSI quattro,2013年5月,3.00万公里,欧4,31.79,71.86万
奥迪,奥迪TT 2008款 TT Roadster 2.0 TFSI S tronic,2009年12月,6.00万公里,欧4,17.88,60.24万
奥迪,奥迪A6L 2008款 2.8 FSI 舒适娱乐型,2008年8月,7.50万公里,国4,11.38,56.99万
奥迪,奥迪Q5 2011款 2.0 TFSI 动感型,2011年7月,3.70万公里,国4,22.8,57.39万
奥迪,奥迪A6L 2005款 4.2FSI quattro至尊旗舰型,2005年12月,10.00万公里,国2,10.58,92.95万
奥迪,奥迪A6L 2006款 2.4 CVT 豪华型,2006年12月,9.00万公里,--,8.3,50.84万
奥迪,奥迪A7 2017款 50 TFSI quattro 舒适型,2016年11月,0.35万公里,国5,64.88,88.79万
奥迪,奥迪A8L 2014款 45 TFSI quattro 豪华型,2014年10月,3.00万公里,国4,66.8,110.94万
奥迪,奥迪A6L 2003款 奥迪A6 2.8豪华行政版,2003年8月,16.00万公里,国2,3.1,61.84万
奥迪,奥迪A4 2007款 1.8T CVT 个性风格版,2007年11月,7.00万公里,国3,7.99,34.63万
奥迪,奥迪A8L 2013款 45 TFSI quattro豪华型,2013年6月,2.00万公里,欧4,51.8,108.66万
奥迪,奥迪A6L 2004款 1.8T 手动基本型,2005年10月,9.00万公里,国2,4.68,38.91万
奥迪,奥迪R8 2011款 Coupe V10 5.2L FSI quattro,2011年8月,3.00万公里,欧5,97.8,252.70万
奥迪,奥迪A4L 2011款 2.0 TFSI(132kW) 标准型,2012年3月,2.80万公里,国4,15.2,33.63万
奥迪,奥迪Q5 2016款 40TFSI 技术型,2017年7月,1.40万公里,国5,35.6,46.41万
奥迪,奥迪A4L 2012款 2.0 TFSI(132kW) 标准型,2012年7月,2.80万公里,国4,18.0,33.63万
奥迪,奥迪A5 2010款 Sportback 2.0T 豪华型,2011年8月,6.00万公里,欧4,20.68,62.74万
奥迪,奥迪A6L 2004款 2.4L 豪华舒适型,2004年5月,12.00万公里,国2,3.88,49.89万
奥迪,奥迪Q7 2010款 3.6 FSI舒适型,2010年12月,8.00万公里,欧4,32.5,102.90万
奥迪,奥迪Q5 2016款 40TFSI 技术型,2016年12月,0.40万公里,国5,34.7,46.41万
奥迪,奥迪A4L 2010款 2.0TFSI 舒适型,2011年1月,6.30万公里,国4,12.98,35.81万
奥迪,奥迪A6L 2008款 2.0T 手动标准型,2008年5月,9.00万公里,国4,8.8,40.63万
奥迪,奥迪A6L 2008款 2.4 技术型,2008年12月,6.78万公里,国4,11.6,46.08万
奥迪,奥迪A4 2008款 1.8T豪华型,2008年3月,9.00万公里,国4,7.8,34.90万
奥迪,奥迪TT 2011款 TT Roadster 2.0 TFSI S tronic quattro,2011年8月,3.60万公里,欧4,24.98,64.26万
奥迪,奥迪A6L 2011款 2.0 TFSI 舒适型(自动),2012年8月,6.30万公里,国4,17.9,45.07万
奥迪,奥迪A5 2011款 Sportback 2.0T 豪华型 CVT无级变速,2011年5月,7.00万公里,欧4,21.0,62.74万
奥迪,奥迪Q7 2010款 3.6 FSI quattro 舒适型运动典藏版,2010年6月,8.50万公里,欧4,29.8,110.73万
奥迪,奥迪A4(进口) 2013款 40TFSI allroad quattro 豪华型,2013年9月,4.50万公里,欧4,28.8,56.42万
奥迪,奥迪A3 2014款 Sportback 35TFSI 舒适型,2014年6月,2.80万公里,"国4,京5",14.3,27.01万
奥迪,奥迪A6L 2004款 2.4L 技术领先型,2004年6月,9.50万公里,国2,3.0,54.24万
奥迪,奥迪A8L 2000款 2.8 quattro,2003年12月,12.00万公里,--,6.0,93.78万
奥迪,奥迪A4 2008款 1.8T豪华型,2008年7月,4.50万公里,国4,8.18,34.90万
奥迪,奥迪A4L 2013款 30 TFSI 自动 舒适型,2014年6月,2.90万公里,国4,16.88,31.59万
奥迪,奥迪S5 2012款 Sportback 3.0T,2012年8月,5.80万公里,欧4,32.2,79.02万
奥迪,奥迪A4L 2010款 2.0TFSI 运动型,2010年1月,10.20万公里,国4,13.89,46.00万
奥迪,奥迪A4 2008款 1.8T豪华型,2008年12月,7.20万公里,国4,7.5,34.90万
奥迪,奥迪A4L 2015款 35 TFSI 自动 技术型,2015年4月,2.40万公里,"国4,国5",24.0,40.47万
奥迪,奥迪A4L 2011款 2.0 TFSI(132kW) 舒适型,2011年9月,5.10万公里,国4,15.3,35.81万
奥迪,奥迪A6L 2005款 1.8T手自一体基本型,2005年1月,10.70万公里,国2,5.48,40.00万
奥迪,奥迪A4 2005款 1.8T自动基本型,2005年1月,9.95万公里,国2,3.98,32.93万
奥迪,奥迪A4L 2015款 45 TFSI quattro 个性运动型,2015年5月,3.00万公里,"国4,国5",24.99,38.32万
奥迪,奥迪A4 2005款 1.8T自动基本型,2005年1月,11.60万公里,国2,3.98,32.93万
奥迪,奥迪A6L 2003款 奥迪A6 2.4L 技术领先型,2004年8月,12.00万公里,国2,3.4,54.24万
奥迪,奥迪A6L 2010款 2.0TFSI 标准型(自动),2011年2月,6.23万公里,国4,17.3,43.41万
奥迪,奥迪Q7 2016款 45 TFSI quattro S line 运动型,2016年12月,0.70万公里,国5,81.88,98.76万
奥迪,奥迪Q5 2012款 2.0 TFSI 技术型,2013年1月,4.00万公里,国4,25.49,46.41万
奥迪,奥迪A8L 2013款 45 TFSI quattro专享型,2012年11月,5.20万公里,欧4,42.8,120.27万
奥迪,奥迪A5 2010款 Sportback 2.0T 豪华型,2011年2月,7.80万公里,欧4,20.88,62.74万
奥迪,奥迪A8L 2013款 50 TFSI quattro舒适型,2012年11月,7.00万公里,欧4,43.5,126.78万
奥迪,奥迪Q5 2017款 40TFSI 舒适型,2017年8月,百公里内,国5,39.38,50.96万
奥迪,奥迪Q3 2013款 35TFSI 进取型,2014年2月,3.45万公里,国4,19.78,30.94万
奥迪,奥迪A6L 2012款 TFSI 舒适型,2012年7月,4.60万公里,国5,25.7,48.48万
奥迪,奥迪Q7 2011款 3.0 TFSI quattro(245kW) 专享型,2011年3月,6.00万公里,欧5,39.5,143.17万
奥迪,奥迪A1 2013款 30TFSI Ego,2013年3月,4.40万公里,欧5,13.2,27.12万
奥迪,奥迪A6L 2012款 TFSI 标准型,2014年8月,3.05万公里,国5,25.58,44.48万
奥迪,奥迪A4L 2011款 2.0 TFSI(132kW) 舒适型,2011年12月,8.20万公里,国4,13.98,35.81万
奥迪,奥迪A8L 2003款 3.0,2003年9月,12.00万公里,--,6.8,95.41万
奥迪,奥迪Q5 2012款 2.0 TFSI 舒适型,2012年9月,7.60万公里,国4,24.68,52.31万
奥迪,奥迪A5 2013款 Sportback 40TFSI,2013年4月,4.70万公里,欧4,28.8,54.25万
奥迪,奥迪A6L 2012款 30 FSI 舒适型,2014年2月,3.40万公里,国5,30.58,51.30万
奥迪,奥迪A6L 2006款 2.4 CVT 尊贵型,2006年2月,9.60万公里,国2,7.89,57.43万
奥迪,奥迪Q5 2016款 40TFSI 进取型,2016年9月,1.00万公里,国5,32.5,41.62万
奥迪,奥迪Q5 2011款 2.0 TFSI 豪华型,2011年11月,8.00万公里,国4,22.6,61.62万
奥迪,奥迪Q5 2013款 40TFSI 技术型,2013年6月,8.40万公里,国4,29.38,46.41万
奥迪,奥迪Q3 2013款 35TFSI 进取型,2014年2月,3.45万公里,国4,19.78,30.94万
奥迪,奥迪A1 2012款 1.4 TFSI 双离合 Urban,2012年4月,5.30万公里,欧5,10.8,24.40万
奥迪,奥迪A7 2011款 2.8 自动 进取型,2013年3月,6.00万公里,欧4,36.88,79.02万
奥迪,奥迪A1 2013款 30TFSI Ego,2013年3月,4.40万公里,欧5,12.9,27.12万
奥迪,奥迪A4 2004款 1.8T自动技术领先型,2005年9月,11.00万公里,国2,3.75,40.48万
奥迪,奥迪A6L 2004款 1.8T 自动基本型,2003年6月,15.00万公里,国2,2.68,41.09万
奥迪,奥迪A6L 2012款 50 TFSI quattro 豪华型,2013年10月,6.50万公里,国5,33.8,80.61万
奥迪,奥迪A5 2010款 Sportback 2.0T 舒适型,2011年9月,6.50万公里,欧4,21.5,53.61万
奥迪,奥迪S5 2012款 Coupe 3.0T,2013年10月,4.00万公里,欧4,38.5,82.28万
奥迪,奥迪Q5(进口) 2013款 45 TFSI quattro 运动型,2013年8月,4.20万公里,欧4,33.58,63.83万
