ID,age,job,marital,default,returned,loan,coupon_used_in_last6_month,coupon_used_in_last_month,coupon_ind
431,34,admin.,married,no,yes,yes,1,1,0
432,46,technician,married,no,no,yes,2,0,0
433,38,blue-collar,married,no,yes,no,1,1,0
434,32,management,divorced,no,yes,no,9,0,0
435,48,blue-collar,married,no,yes,no,2,0,0
436,48,services,married,no,yes,no,1,1,0
437,58,self-employed,married,no,no,yes,2,0,0
438,29,management,single,no,yes,no,4,0,0
439,49,admin.,divorced,no,yes,no,1,1,0
440,55,management,married,no,yes,no,1,0,0
441,39,blue-collar,married,no,yes,no,4,0,0
442,42,entrepreneur,married,no,yes,yes,1,0,0
443,42,admin.,married,no,no,no,4,0,0
444,28,student,single,no,no,no,2,0,0
445,33,management,married,no,yes,no,4,0,0
446,59,management,married,no,no,no,2,0,0
447,58,unemployed,married,no,yes,no,1,0,0
448,56,admin.,divorced,no,no,yes,2,0,0
449,48,services,divorced,no,yes,no,1,0,0
450,33,admin.,divorced,yes,yes,no,1,1,0
451,53,technician,married,no,no,no,1,0,0
452,27,blue-collar,single,no,yes,no,4,0,0
453,32,admin.,divorced,no,yes,yes,3,0,0
454,43,blue-collar,married,no,yes,no,7,6,0
455,45,entrepreneur,married,no,yes,no,1,0,0
456,34,management,married,no,no,no,1,1,0
457,59,admin.,married,no,no,no,4,0,0
458,33,entrepreneur,married,no,yes,no,1,1,0
459,33,unemployed,married,no,yes,no,2,0,0
460,30,admin.,single,no,no,yes,3,1,0
461,55,blue-collar,married,no,no,no,2,0,0
462,44,management,married,no,no,no,1,0,0
463,31,technician,single,no,no,no,5,2,0
464,38,management,married,no,no,no,1,0,0
465,26,student,single,no,no,no,2,0,0
466,24,blue-collar,married,no,yes,no,2,0,0
467,40,unemployed,divorced,no,yes,no,5,0,0
468,31,student,single,no,no,no,2,2,0
469,43,technician,single,no,yes,no,10,0,0
470,40,admin.,single,no,yes,no,6,0,0
471,37,management,single,no,no,no,1,0,0
472,54,entrepreneur,married,yes,yes,no,1,0,0
473,29,self-employed,married,yes,yes,yes,3,0,0
474,34,blue-collar,married,no,yes,no,5,0,0
475,59,retired,married,no,yes,no,4,0,0
476,27,student,single,no,yes,no,1,0,0
477,45,blue-collar,married,no,yes,no,2,0,0
478,59,management,divorced,no,yes,no,1,0,0
479,55,management,married,no,yes,yes,4,0,0
480,57,retired,married,no,no,yes,3,0,0
481,59,retired,divorced,no,no,no,2,0,0
482,61,self-employed,married,no,no,no,1,0,0
483,45,blue-collar,married,no,yes,yes,1,0,0
484,32,management,single,no,yes,no,2,0,0
485,32,management,single,no,yes,no,1,0,0
486,31,student,single,no,no,no,3,0,0
487,40,services,married,no,yes,no,6,0,0
488,33,technician,divorced,no,yes,yes,1,0,0
489,55,retired,married,no,no,no,2,0,0
490,41,management,single,no,yes,no,2,0,0
491,26,management,single,no,no,no,2,1,0
492,58,technician,married,no,no,no,3,0,0
493,58,retired,married,no,no,yes,1,0,0
494,46,management,single,no,no,no,1,0,0
495,60,technician,divorced,no,yes,no,10,0,0
496,41,blue-collar,married,no,yes,no,2,0,0
497,28,student,single,no,yes,no,9,0,0
498,45,admin.,married,no,yes,no,2,0,0
499,35,management,married,no,yes,no,3,0,0
500,38,management,married,no,no,no,2,0,0
501,30,management,divorced,no,no,no,2,0,0
502,27,admin.,single,no,no,no,2,0,0
503,71,retired,divorced,no,no,no,1,1,0
504,27,entrepreneur,single,no,no,no,2,0,0
505,36,technician,single,no,no,no,6,0,0
506,37,management,married,no,no,no,1,0,0
507,37,services,single,no,yes,no,4,2,0
508,50,admin.,married,no,yes,no,1,1,0
509,46,management,married,no,yes,no,1,0,0
510,27,blue-collar,married,no,yes,yes,1,0,0
511,32,technician,single,no,no,yes,2,0,0
512,36,admin.,single,no,yes,no,1,1,0
513,30,unemployed,married,yes,no,no,5,0,0
514,41,technician,married,no,no,yes,1,0,0
515,50,services,married,no,no,no,4,0,0
516,39,technician,married,no,yes,no,1,1,0
517,43,management,divorced,no,no,yes,7,0,0
518,52,services,single,no,no,no,1,0,0
519,26,admin.,married,no,yes,no,3,0,0
520,51,management,married,no,no,yes,1,0,0
521,53,management,married,no,no,no,1,0,0
522,34,admin.,single,no,no,no,1,0,0
523,49,admin.,married,no,no,no,1,0,0
524,47,services,married,no,yes,no,2,0,0
525,40,admin.,married,no,yes,no,3,0,0
526,47,admin.,divorced,no,yes,no,2,0,0
527,56,retired,married,no,no,no,19,0,0
528,29,admin.,single,no,no,no,5,0,0
529,39,management,single,no,no,no,3,0,0
530,37,services,married,no,no,no,3,0,0
531,56,blue-collar,divorced,no,no,no,3,0,0
532,31,management,single,no,no,no,4,0,0
533,32,services,single,no,no,no,5,0,0
534,33,blue-collar,married,no,yes,no,1,0,0
535,57,retired,married,no,no,no,2,0,0
536,60,retired,married,no,no,no,4,0,0
537,58,admin.,married,no,no,no,4,0,0
538,52,admin.,married,no,no,yes,1,0,0
539,55,housemaid,divorced,no,yes,no,3,0,0
540,57,blue-collar,married,no,yes,no,3,0,0
541,25,blue-collar,single,no,yes,yes,2,0,0
542,49,management,married,no,yes,no,2,2,0
543,39,management,single,no,yes,no,8,2,0
544,41,blue-collar,single,no,yes,no,10,1,0
545,47,technician,single,no,no,no,2,0,0
546,37,management,married,yes,no,yes,1,0,0
547,59,management,married,no,no,no,2,2,0
548,59,blue-collar,married,no,yes,no,3,0,0
549,33,admin.,single,no,yes,no,3,0,0
550,47,technician,married,no,yes,no,1,1,0
551,28,blue-collar,married,no,yes,no,1,0,0
552,34,blue-collar,married,no,yes,no,5,0,0
553,58,blue-collar,married,no,no,no,3,0,0
554,55,self-employed,married,no,no,no,2,1,0
555,60,blue-collar,married,no,yes,no,1,0,0
556,36,student,married,no,no,no,1,0,0
557,27,self-employed,single,no,yes,no,2,0,0
558,69,technician,married,no,no,no,1,0,0
559,36,admin.,married,no,yes,no,4,0,0
560,35,admin.,married,no,yes,no,2,0,0
561,51,services,married,no,yes,yes,8,0,0
562,32,admin.,married,no,yes,no,3,0,0
563,33,management,married,no,no,no,2,0,0
564,43,blue-collar,married,no,no,no,4,0,0
565,32,admin.,married,no,yes,yes,2,0,0
566,40,blue-collar,married,no,yes,no,1,0,0
567,47,technician,married,no,yes,no,4,0,0
568,29,management,single,no,no,no,2,0,0
569,48,blue-collar,married,no,no,no,3,3,0
570,53,retired,divorced,no,no,no,1,0,0
571,27,admin.,single,no,no,no,1,0,0
572,42,admin.,married,no,yes,no,2,0,0
573,28,blue-collar,single,no,yes,no,1,0,0
574,24,self-employed,single,no,no,no,1,1,0
575,32,management,divorced,no,yes,yes,1,0,0
576,23,student,single,no,yes,no,5,5,0
577,26,technician,divorced,no,yes,yes,1,0,0
578,46,services,married,no,yes,no,1,0,0
579,49,self-employed,single,no,yes,no,4,0,0
580,75,retired,divorced,no,no,no,1,0,0
581,31,management,single,no,yes,no,2,1,0
582,26,blue-collar,single,no,no,yes,1,0,0
583,32,technician,single,no,yes,no,17,0,0
584,49,blue-collar,married,no,no,no,1,0,0
585,53,unemployed,married,no,yes,no,3,0,0
586,34,services,single,no,no,no,1,0,0
587,46,management,married,no,yes,yes,2,0,0
588,30,management,single,no,no,no,5,0,0
589,45,technician,married,no,yes,no,2,0,0
590,37,technician,divorced,no,no,no,7,0,0
591,34,services,married,no,yes,yes,2,0,0
592,59,entrepreneur,married,no,yes,no,1,0,0
593,40,management,divorced,no,yes,no,2,2,0
594,54,retired,married,no,no,no,3,0,0
595,46,blue-collar,married,no,no,yes,2,0,0
596,46,admin.,married,no,yes,no,2,0,0
597,52,management,married,no,yes,no,2,0,0
598,40,self-employed,married,no,no,no,1,0,0
599,41,blue-collar,married,no,yes,no,1,1,0
600,32,blue-collar,married,no,yes,no,1,0,0
601,43,self-employed,single,no,no,no,2,0,0
602,60,admin.,married,no,yes,no,1,0,0
603,50,management,married,no,yes,no,2,0,0
604,27,services,single,no,yes,no,2,0,0
605,41,technician,married,no,no,no,6,0,0
606,29,admin.,single,no,no,no,9,0,0
607,52,services,divorced,no,yes,no,1,0,0
608,40,blue-collar,married,no,no,no,2,0,0
609,32,unemployed,single,no,no,no,1,0,0
610,58,entrepreneur,married,no,yes,no,1,0,0
611,56,retired,divorced,no,no,no,2,0,0
